,country,year,sex,age,suicides_no,population,suicides_per_100k_pop,gdp_per_capita_usd,generation,country_code_name,continent,sub_region,demo_group
23974,Sri Lanka,2000,male,35-54 years,1521,2331906,65.23,953,Boomers,LKA,Asia,Southern Asia,male : 35-54 years
23975,Sri Lanka,2000,male,25-34 years,873,1464384,59.62,953,Generation X,LKA,Asia,Southern Asia,male : 25-34 years
23976,Sri Lanka,2000,male,15-24 years,615,1815183,33.88,953,Generation X,LKA,Asia,Southern Asia,male : 15-24 years
23977,Sri Lanka,2000,female,15-24 years,504,1776940,28.36,953,Generation X,LKA,Asia,Southern Asia,female : 15-24 years
23978,Sri Lanka,2000,female,25-34 years,288,1495529,19.26,953,Generation X,LKA,Asia,Southern Asia,female : 25-34 years
23979,Sri Lanka,2000,female,75+ years,40,210936,18.96,953,G.I. Generation,LKA,Asia,Southern Asia,female : 75+ years
23980,Sri Lanka,2000,female,35-54 years,309,2394085,12.91,953,Boomers,LKA,Asia,Southern Asia,female : 35-54 years
23981,Sri Lanka,2000,female,55-74 years,125,1072256,11.66,953,Silent,LKA,Asia,Southern Asia,female : 55-74 years
23982,Sri Lanka,2000,female,05-14 years,27,1659830,1.63,953,Millenials,LKA,Asia,Southern Asia,female : 05-14 years
23983,Sri Lanka,2000,male,05-14 years,21,1723309,1.22,953,Millenials,LKA,Asia,Southern Asia,male : 05-14 years
23984,Sri Lanka,2001,male,75+ years,162,204801,79.1,912,Silent,LKA,Asia,Southern Asia,male : 75+ years
23985,Sri Lanka,2001,male,55-74 years,671,1025106,65.46,912,Silent,LKA,Asia,Southern Asia,male : 55-74 years
23986,Sri Lanka,2001,male,35-54 years,1468,2362538,62.14,912,Boomers,LKA,Asia,Southern Asia,male : 35-54 years
23987,Sri Lanka,2001,male,25-34 years,755,1469938,51.36,912,Generation X,LKA,Asia,Southern Asia,male : 25-34 years
23988,Sri Lanka,2001,male,15-24 years,508,1811743,28.04,912,Millenials,LKA,Asia,Southern Asia,male : 15-24 years
23989,Sri Lanka,2001,female,15-24 years,394,1778830,22.15,912,Millenials,LKA,Asia,Southern Asia,female : 15-24 years
23990,Sri Lanka,2001,female,25-34 years,224,1503451,14.9,912,Generation X,LKA,Asia,Southern Asia,female : 25-34 years
23991,Sri Lanka,2001,female,75+ years,31,222745,13.92,912,Silent,LKA,Asia,Southern Asia,female : 75+ years
23992,Sri Lanka,2001,female,35-54 years,244,2437630,10.01,912,Boomers,LKA,Asia,Southern Asia,female : 35-54 years
23993,Sri Lanka,2001,female,55-74 years,100,1109859,9.01,912,Silent,LKA,Asia,Southern Asia,female : 55-74 years
23994,Sri Lanka,2001,male,05-14 years,18,1699714,1.06,912,Millenials,LKA,Asia,Southern Asia,male : 05-14 years
23995,Sri Lanka,2001,female,05-14 years,15,1640606,0.91,912,Millenials,LKA,Asia,Southern Asia,female : 05-14 years
23996,Sri Lanka,2002,male,75+ years,165,211446,78.03,951,Silent,LKA,Asia,Southern Asia,male : 75+ years
23997,Sri Lanka,2002,male,35-54 years,1476,2389646,61.77,951,Boomers,LKA,Asia,Southern Asia,male : 35-54 years
23998,Sri Lanka,2002,male,55-74 years,641,1055685,60.72,951,Silent,LKA,Asia,Southern Asia,male : 55-74 years
23999,Sri Lanka,2002,male,25-34 years,639,1478000,43.23,951,Generation X,LKA,Asia,Southern Asia,male : 25-34 years
24000,Sri Lanka,2002,male,15-24 years,520,1799884,28.89,951,Millenials,LKA,Asia,Southern Asia,male : 15-24 years
24001,Sri Lanka,2002,female,15-24 years,335,1772766,18.9,951,Millenials,LKA,Asia,Southern Asia,female : 15-24 years
24002,Sri Lanka,2002,female,25-34 years,213,1514774,14.06,951,Generation X,LKA,Asia,Southern Asia,female : 25-34 years
24003,Sri Lanka,2002,female,75+ years,31,234216,13.24,951,Silent,LKA,Asia,Southern Asia,female : 75+ years
24004,Sri Lanka,2002,female,55-74 years,106,1153099,9.19,951,Silent,LKA,Asia,Southern Asia,female : 55-74 years
24005,Sri Lanka,2002,female,35-54 years,204,2477980,8.23,951,Boomers,LKA,Asia,Southern Asia,female : 35-54 years
24006,Sri Lanka,2002,female,05-14 years,28,1626383,1.72,951,Millenials,LKA,Asia,Southern Asia,female : 05-14 years
24007,Sri Lanka,2002,male,05-14 years,24,1682076,1.43,951,Millenials,LKA,Asia,Southern Asia,male : 05-14 years
24008,Sri Lanka,2003,male,75+ years,190,216549,87.74,1077,Silent,LKA,Asia,Southern Asia,male : 75+ years
24009,Sri Lanka,2003,male,55-74 years,690,1089743,63.32,1077,Silent,LKA,Asia,Southern Asia,male : 55-74 years
24010,Sri Lanka,2003,male,35-54 years,1483,2413016,61.46,1077,Boomers,LKA,Asia,Southern Asia,male : 35-54 years
24011,Sri Lanka,2003,male,25-34 years,650,1488285,43.67,1077,Generation X,LKA,Asia,Southern Asia,male : 25-34 years
24012,Sri Lanka,2003,male,15-24 years,509,1781707,28.57,1077,Millenials,LKA,Asia,Southern Asia,male : 15-24 years
24013,Sri Lanka,2003,female,15-24 years,358,1760232,20.34,1077,Millenials,LKA,Asia,Southern Asia,female : 15-24 years
24014,Sri Lanka,2003,female,75+ years,38,245223,15.5,1077,Silent,LKA,Asia,Southern Asia,female : 75+ years
24015,Sri Lanka,2003,female,25-34 years,186,1529565,12.16,1077,Generation X,LKA,Asia,Southern Asia,female : 25-34 years
24016,Sri Lanka,2003,female,55-74 years,111,1200816,9.24,1077,Silent,LKA,Asia,Southern Asia,female : 55-74 years
24017,Sri Lanka,2003,female,35-54 years,218,2514643,8.67,1077,Boomers,LKA,Asia,Southern Asia,female : 35-54 years
24018,Sri Lanka,2003,female,05-14 years,23,1615933,1.42,1077,Millenials,LKA,Asia,Southern Asia,female : 05-14 years
24019,Sri Lanka,2003,male,05-14 years,11,1668884,0.66,1077,Millenials,LKA,Asia,Southern Asia,male : 05-14 years
24020,Sri Lanka,2006,male,75+ years,211,224927,93.81,1580,Silent,LKA,Asia,Southern Asia,male : 75+ years
24021,Sri Lanka,2006,male,55-74 years,649,1187973,54.63,1580,Silent,LKA,Asia,Southern Asia,male : 55-74 years
24022,Sri Lanka,2006,male,35-54 years,1246,2465505,50.54,1580,Boomers,LKA,Asia,Southern Asia,male : 35-54 years
24023,Sri Lanka,2006,male,25-34 years,573,1541529,37.17,1580,Generation X,LKA,Asia,Southern Asia,male : 25-34 years
24024,Sri Lanka,2006,male,15-24 years,423,1697398,24.92,1580,Millenials,LKA,Asia,Southern Asia,male : 15-24 years
24025,Sri Lanka,2006,female,15-24 years,333,1699144,19.6,1580,Millenials,LKA,Asia,Southern Asia,female : 15-24 years
24026,Sri Lanka,2006,female,75+ years,51,276505,18.44,1580,Silent,LKA,Asia,Southern Asia,female : 75+ years
24027,Sri Lanka,2006,female,25-34 years,194,1594072,12.17,1580,Generation X,LKA,Asia,Southern Asia,female : 25-34 years
24028,Sri Lanka,2006,female,55-74 years,111,1344897,8.25,1580,Silent,LKA,Asia,Southern Asia,female : 55-74 years
24029,Sri Lanka,2006,female,35-54 years,198,2603293,7.61,1580,Boomers,LKA,Asia,Southern Asia,female : 35-54 years
24030,Sri Lanka,2006,male,05-14 years,15,1650300,0.91,1580,Millenials,LKA,Asia,Southern Asia,male : 05-14 years
24031,Sri Lanka,2006,female,05-14 years,11,1606015,0.68,1580,Millenials,LKA,Asia,Southern Asia,female : 05-14 years
24056,Suriname,1987,male,75+ years,2,2919,68.52,2951,G.I. Generation,SUR,Americas,South America,male : 75+ years
24057,Suriname,1987,male,25-34 years,13,30977,41.97,2951,Boomers,SUR,Americas,South America,male : 25-34 years
24058,Suriname,1987,male,35-54 years,12,33400,35.93,2951,Silent,SUR,Americas,South America,male : 35-54 years
24059,Suriname,1987,male,55-74 years,5,15788,31.67,2951,G.I. Generation,SUR,Americas,South America,male : 55-74 years
24060,Suriname,1987,female,75+ years,1,3776,26.48,2951,G.I. Generation,SUR,Americas,South America,female : 75+ years
24061,Suriname,1987,female,15-24 years,8,40204,19.9,2951,Generation X,SUR,Americas,South America,female : 15-24 years
24062,Suriname,1987,male,15-24 years,8,43517,18.38,2951,Generation X,SUR,Americas,South America,male : 15-24 years
24063,Suriname,1987,female,25-34 years,1,29656,3.37,2951,Boomers,SUR,Americas,South America,female : 25-34 years
24064,Suriname,1987,female,35-54 years,1,33647,2.97,2951,Silent,SUR,Americas,South America,female : 35-54 years
24065,Suriname,1987,female,05-14 years,1,39799,2.51,2951,Generation X,SUR,Americas,South America,female : 05-14 years
24068,Suriname,1988,male,25-34 years,12,32853,36.53,3418,Boomers,SUR,Americas,South America,male : 25-34 years
24069,Suriname,1988,male,75+ years,1,2960,33.78,3418,G.I. Generation,SUR,Americas,South America,male : 75+ years
24070,Suriname,1988,female,75+ years,1,3816,26.21,3418,G.I. Generation,SUR,Americas,South America,female : 75+ years
24071,Suriname,1988,female,15-24 years,10,40327,24.8,3418,Generation X,SUR,Americas,South America,female : 15-24 years
24072,Suriname,1988,female,55-74 years,4,17297,23.13,3418,G.I. Generation,SUR,Americas,South America,female : 55-74 years
24073,Suriname,1988,male,15-24 years,9,43613,20.64,3418,Generation X,SUR,Americas,South America,male : 15-24 years
24074,Suriname,1988,male,35-54 years,7,34213,20.46,3418,Silent,SUR,Americas,South America,male : 35-54 years
24075,Suriname,1988,male,55-74 years,3,16330,18.37,3418,G.I. Generation,SUR,Americas,South America,male : 55-74 years
24076,Suriname,1988,female,35-54 years,2,34480,5.8,3418,Silent,SUR,Americas,South America,female : 35-54 years
24080,Suriname,1989,male,35-54 years,17,35135,48.38,1560,Silent,SUR,Americas,South America,male : 35-54 years
24081,Suriname,1989,male,75+ years,1,2964,33.74,1560,G.I. Generation,SUR,Americas,South America,male : 75+ years
24082,Suriname,1989,male,25-34 years,11,34649,31.75,1560,Boomers,SUR,Americas,South America,male : 25-34 years
24083,Suriname,1989,female,75+ years,1,3844,26.01,1560,G.I. Generation,SUR,Americas,South America,female : 75+ years
24084,Suriname,1989,male,15-24 years,11,43552,25.26,1560,Generation X,SUR,Americas,South America,male : 15-24 years
24085,Suriname,1989,female,55-74 years,4,18079,22.13,1560,G.I. Generation,SUR,Americas,South America,female : 55-74 years
24086,Suriname,1989,female,35-54 years,3,35415,8.47,1560,Silent,SUR,Americas,South America,female : 35-54 years
24087,Suriname,1989,female,15-24 years,3,40352,7.43,1560,Generation X,SUR,Americas,South America,female : 15-24 years
24088,Suriname,1989,male,55-74 years,1,16912,5.91,1560,G.I. Generation,SUR,Americas,South America,male : 55-74 years
24089,Suriname,1989,female,25-34 years,1,32892,3.04,1560,Boomers,SUR,Americas,South America,female : 25-34 years
24092,Suriname,1990,male,75+ years,3,2000,150.0,1114,G.I. Generation,SUR,Americas,South America,male : 75+ years
24093,Suriname,1990,male,25-34 years,8,34000,23.53,1114,Boomers,SUR,Americas,South America,male : 25-34 years
24094,Suriname,1990,male,15-24 years,7,47000,14.89,1114,Generation X,SUR,Americas,South America,male : 15-24 years
24095,Suriname,1990,male,35-54 years,2,28000,7.14,1114,Silent,SUR,Americas,South America,male : 35-54 years
24096,Suriname,1990,male,55-74 years,1,16000,6.25,1114,G.I. Generation,SUR,Americas,South America,male : 55-74 years
24097,Suriname,1990,female,25-34 years,2,35000,5.71,1114,Boomers,SUR,Americas,South America,female : 25-34 years
24098,Suriname,1990,female,15-24 years,2,46000,4.35,1114,Generation X,SUR,Americas,South America,female : 15-24 years
24099,Suriname,1990,male,05-14 years,1,45000,2.22,1114,Generation X,SUR,Americas,South America,male : 05-14 years
24104,Suriname,1991,male,25-34 years,15,37620,39.87,1235,Boomers,SUR,Americas,South America,male : 25-34 years
24105,Suriname,1991,male,35-54 years,13,37217,34.93,1235,Boomers,SUR,Americas,South America,male : 35-54 years
24106,Suriname,1991,male,75+ years,1,2979,33.57,1235,G.I. Generation,SUR,Americas,South America,male : 75+ years
24107,Suriname,1991,female,75+ years,1,3932,25.43,1235,G.I. Generation,SUR,Americas,South America,female : 75+ years
24108,Suriname,1991,female,15-24 years,9,40020,22.49,1235,Generation X,SUR,Americas,South America,female : 15-24 years
24109,Suriname,1991,female,55-74 years,4,19527,20.48,1235,Silent,SUR,Americas,South America,female : 55-74 years
24110,Suriname,1991,female,25-34 years,5,35339,14.15,1235,Boomers,SUR,Americas,South America,female : 25-34 years
24111,Suriname,1991,male,15-24 years,5,42924,11.65,1235,Generation X,SUR,Americas,South America,male : 15-24 years
24112,Suriname,1991,male,55-74 years,1,18019,5.55,1235,Silent,SUR,Americas,South America,male : 55-74 years
24113,Suriname,1991,female,05-14 years,2,42788,4.67,1235,Millenials,SUR,Americas,South America,female : 05-14 years
24114,Suriname,1991,female,35-54 years,1,37467,2.67,1235,Boomers,SUR,Americas,South America,female : 35-54 years
24116,Suriname,1992,male,25-34 years,11,38778,28.37,1093,Boomers,SUR,Americas,South America,male : 25-34 years
24117,Suriname,1992,male,55-74 years,5,18529,26.98,1093,Silent,SUR,Americas,South America,male : 55-74 years
24118,Suriname,1992,male,35-54 years,10,38358,26.07,1093,Boomers,SUR,Americas,South America,male : 35-54 years
24119,Suriname,1992,male,15-24 years,9,42389,21.23,1093,Generation X,SUR,Americas,South America,male : 15-24 years
24120,Suriname,1992,female,15-24 years,6,39704,15.11,1093,Generation X,SUR,Americas,South America,female : 15-24 years
24121,Suriname,1992,female,25-34 years,2,36206,5.52,1093,Boomers,SUR,Americas,South America,female : 25-34 years
24122,Suriname,1992,female,35-54 years,2,38576,5.18,1093,Boomers,SUR,Americas,South America,female : 35-54 years
24123,Suriname,1992,female,55-74 years,1,20189,4.95,1093,Silent,SUR,Americas,South America,female : 55-74 years
24124,Suriname,1992,female,05-14 years,2,43929,4.55,1093,Millenials,SUR,Americas,South America,female : 05-14 years
24128,Suriname,1995,male,25-34 years,14,40792,34.32,1782,Generation X,SUR,Americas,South America,male : 25-34 years
24129,Suriname,1995,male,75+ years,1,2953,33.86,1782,G.I. Generation,SUR,Americas,South America,male : 75+ years
24130,Suriname,1995,male,15-24 years,12,40901,29.34,1782,Generation X,SUR,Americas,South America,male : 15-24 years
24131,Suriname,1995,male,35-54 years,10,42573,23.49,1782,Boomers,SUR,Americas,South America,male : 35-54 years
24132,Suriname,1995,male,55-74 years,4,19931,20.07,1782,Silent,SUR,Americas,South America,male : 55-74 years
24133,Suriname,1995,female,55-74 years,3,22077,13.59,1782,Silent,SUR,Americas,South America,female : 55-74 years
24134,Suriname,1995,female,15-24 years,5,38880,12.86,1782,Generation X,SUR,Americas,South America,female : 15-24 years
24135,Suriname,1995,female,25-34 years,4,37603,10.64,1782,Generation X,SUR,Americas,South America,female : 25-34 years
24136,Suriname,1995,female,35-54 years,1,42582,2.35,1782,Boomers,SUR,Americas,South America,female : 35-54 years
24137,Suriname,1995,male,05-14 years,1,49923,2.0,1782,Millenials,SUR,Americas,South America,male : 05-14 years
24140,Suriname,1996,male,75+ years,1,3080,32.47,2174,G.I. Generation,SUR,Americas,South America,male : 75+ years
24141,Suriname,1996,male,25-34 years,6,41058,14.61,2174,Generation X,SUR,Americas,South America,male : 25-34 years
24142,Suriname,1996,male,35-54 years,6,44241,13.56,2174,Boomers,SUR,Americas,South America,male : 35-54 years
24143,Suriname,1996,male,15-24 years,3,40974,7.32,2174,Generation X,SUR,Americas,South America,male : 15-24 years
24144,Suriname,1996,male,55-74 years,1,20314,4.92,2174,Silent,SUR,Americas,South America,male : 55-74 years
24145,Suriname,1996,female,55-74 years,1,22310,4.48,2174,Silent,SUR,Americas,South America,female : 55-74 years
24146,Suriname,1996,female,15-24 years,1,39181,2.55,2174,Generation X,SUR,Americas,South America,female : 15-24 years
24147,Suriname,1996,female,35-54 years,1,44201,2.26,2174,Boomers,SUR,Americas,South America,female : 35-54 years
24148,Suriname,1996,female,05-14 years,1,47703,2.1,2174,Millenials,SUR,Americas,South America,female : 05-14 years
24152,Suriname,1997,male,75+ years,1,3211,31.14,2314,G.I. Generation,SUR,Americas,South America,male : 75+ years
24153,Suriname,1997,male,55-74 years,4,20606,19.41,2314,Silent,SUR,Americas,South America,male : 55-74 years
24154,Suriname,1997,male,15-24 years,5,41081,12.17,2314,Generation X,SUR,Americas,South America,male : 15-24 years
24155,Suriname,1997,male,25-34 years,5,41122,12.16,2314,Generation X,SUR,Americas,South America,male : 25-34 years
24156,Suriname,1997,male,35-54 years,5,46141,10.84,2314,Boomers,SUR,Americas,South America,male : 35-54 years
24157,Suriname,1997,female,25-34 years,3,38337,7.83,2314,Generation X,SUR,Americas,South America,female : 25-34 years
24158,Suriname,1997,female,35-54 years,3,46033,6.52,2314,Boomers,SUR,Americas,South America,female : 35-54 years
24159,Suriname,1997,female,15-24 years,2,39505,5.06,2314,Generation X,SUR,Americas,South America,female : 15-24 years
24160,Suriname,1997,female,55-74 years,1,22554,4.43,2314,Silent,SUR,Americas,South America,female : 55-74 years
24161,Suriname,1997,female,05-14 years,2,48099,4.16,2314,Millenials,SUR,Americas,South America,female : 05-14 years
24162,Suriname,1997,male,05-14 years,1,50699,1.97,2314,Millenials,SUR,Americas,South America,male : 05-14 years
24164,Suriname,1998,male,75+ years,1,3340,29.94,2318,G.I. Generation,SUR,Americas,South America,male : 75+ years
24165,Suriname,1998,male,25-34 years,7,41049,17.05,2318,Generation X,SUR,Americas,South America,male : 25-34 years
24166,Suriname,1998,male,35-54 years,8,48239,16.58,2318,Boomers,SUR,Americas,South America,male : 35-54 years
24167,Suriname,1998,male,55-74 years,3,20823,14.41,2318,Silent,SUR,Americas,South America,male : 55-74 years
24168,Suriname,1998,female,25-34 years,4,38571,10.37,2318,Generation X,SUR,Americas,South America,female : 25-34 years
24169,Suriname,1998,female,35-54 years,3,48040,6.24,2318,Boomers,SUR,Americas,South America,female : 35-54 years
24170,Suriname,1998,male,15-24 years,2,41216,4.85,2318,Generation X,SUR,Americas,South America,male : 15-24 years
24171,Suriname,1998,female,15-24 years,1,39847,2.51,2318,Generation X,SUR,Americas,South America,female : 15-24 years
24176,Suriname,1999,male,75+ years,3,3466,86.56,2142,G.I. Generation,SUR,Americas,South America,male : 75+ years
24177,Suriname,1999,male,55-74 years,9,21006,42.84,2142,Silent,SUR,Americas,South America,male : 55-74 years
24178,Suriname,1999,male,25-34 years,9,40913,22.0,2142,Generation X,SUR,Americas,South America,male : 25-34 years
24179,Suriname,1999,female,15-24 years,8,40243,19.88,2142,Generation X,SUR,Americas,South America,female : 15-24 years
24180,Suriname,1999,male,35-54 years,8,50399,15.87,2142,Boomers,SUR,Americas,South America,male : 35-54 years
24181,Suriname,1999,male,15-24 years,5,41424,12.07,2142,Generation X,SUR,Americas,South America,male : 15-24 years
24182,Suriname,1999,female,35-54 years,4,50067,7.99,2142,Boomers,SUR,Americas,South America,female : 35-54 years
24183,Suriname,1999,female,25-34 years,2,38746,5.16,2142,Generation X,SUR,Americas,South America,female : 25-34 years
24184,Suriname,1999,female,55-74 years,1,23115,4.33,2142,Silent,SUR,Americas,South America,female : 55-74 years
24188,Suriname,2000,male,35-54 years,15,52484,28.58,2129,Boomers,SUR,Americas,South America,male : 35-54 years
24189,Suriname,2000,male,25-34 years,11,40787,26.97,2129,Generation X,SUR,Americas,South America,male : 25-34 years
24190,Suriname,2000,male,15-24 years,9,41743,21.56,2129,Generation X,SUR,Americas,South America,male : 15-24 years
24191,Suriname,2000,female,25-34 years,6,38906,15.42,2129,Generation X,SUR,Americas,South America,female : 25-34 years
24192,Suriname,2000,female,55-74 years,3,23464,12.79,2129,Silent,SUR,Americas,South America,female : 55-74 years
24193,Suriname,2000,male,55-74 years,2,21208,9.43,2129,Silent,SUR,Americas,South America,male : 55-74 years
24194,Suriname,2000,female,15-24 years,3,40714,7.37,2129,Generation X,SUR,Americas,South America,female : 15-24 years
24195,Suriname,2000,female,35-54 years,2,51969,3.85,2129,Boomers,SUR,Americas,South America,female : 35-54 years
24196,Suriname,2000,male,05-14 years,1,50922,1.96,2129,Millenials,SUR,Americas,South America,male : 05-14 years
24200,Suriname,2001,male,25-34 years,21,40500,51.85,1798,Generation X,SUR,Americas,South America,male : 25-34 years
24201,Suriname,2001,male,55-74 years,10,21351,46.84,1798,Silent,SUR,Americas,South America,male : 55-74 years
24202,Suriname,2001,male,35-54 years,16,54230,29.5,1798,Boomers,SUR,Americas,South America,male : 35-54 years
24203,Suriname,2001,male,75+ years,1,3809,26.25,1798,Silent,SUR,Americas,South America,male : 75+ years
24204,Suriname,2001,female,55-74 years,5,23944,20.88,1798,Silent,SUR,Americas,South America,female : 55-74 years
24205,Suriname,2001,male,15-24 years,6,42153,14.23,1798,Millenials,SUR,Americas,South America,male : 15-24 years
24206,Suriname,2001,female,25-34 years,5,38844,12.87,1798,Generation X,SUR,Americas,South America,female : 25-34 years
24207,Suriname,2001,female,35-54 years,5,53591,9.33,1798,Boomers,SUR,Americas,South America,female : 35-54 years
24208,Suriname,2001,male,05-14 years,2,51208,3.91,1798,Millenials,SUR,Americas,South America,male : 05-14 years
24209,Suriname,2001,female,15-24 years,1,41145,2.43,1798,Millenials,SUR,Americas,South America,female : 15-24 years
24212,Suriname,2002,male,25-34 years,15,40239,37.28,2507,Generation X,SUR,Americas,South America,male : 25-34 years
24213,Suriname,2002,male,55-74 years,6,21592,27.79,2507,Silent,SUR,Americas,South America,male : 55-74 years
24214,Suriname,2002,male,35-54 years,15,55834,26.87,2507,Boomers,SUR,Americas,South America,male : 35-54 years
24215,Suriname,2002,male,75+ years,1,3996,25.03,2507,Silent,SUR,Americas,South America,male : 75+ years
24216,Suriname,2002,male,15-24 years,10,42809,23.36,2507,Millenials,SUR,Americas,South America,male : 15-24 years
24217,Suriname,2002,female,75+ years,1,5067,19.74,2507,Silent,SUR,Americas,South America,female : 75+ years
24218,Suriname,2002,female,55-74 years,4,24443,16.36,2507,Silent,SUR,Americas,South America,female : 55-74 years
24219,Suriname,2002,female,25-34 years,5,38769,12.9,2507,Generation X,SUR,Americas,South America,female : 25-34 years
24220,Suriname,2002,female,15-24 years,4,41713,9.59,2507,Millenials,SUR,Americas,South America,female : 15-24 years
24221,Suriname,2002,female,35-54 years,4,54990,7.27,2507,Boomers,SUR,Americas,South America,female : 35-54 years
24222,Suriname,2002,female,05-14 years,3,49195,6.1,2507,Millenials,SUR,Americas,South America,female : 05-14 years
24223,Suriname,2002,male,05-14 years,1,51529,1.94,2507,Millenials,SUR,Americas,South America,male : 05-14 years
24224,Suriname,2003,male,55-74 years,12,21925,54.73,2916,Silent,SUR,Americas,South America,male : 55-74 years
24225,Suriname,2003,male,25-34 years,20,39999,50.0,2916,Generation X,SUR,Americas,South America,male : 25-34 years
24226,Suriname,2003,male,75+ years,2,4153,48.16,2916,Silent,SUR,Americas,South America,male : 75+ years
24227,Suriname,2003,male,35-54 years,15,57340,26.16,2916,Boomers,SUR,Americas,South America,male : 35-54 years
24228,Suriname,2003,male,15-24 years,7,43597,16.06,2916,Millenials,SUR,Americas,South America,male : 15-24 years
24229,Suriname,2003,female,25-34 years,6,38701,15.5,2916,Generation X,SUR,Americas,South America,female : 25-34 years
24230,Suriname,2003,female,35-54 years,7,56259,12.44,2916,Boomers,SUR,Americas,South America,female : 35-54 years
24231,Suriname,2003,female,55-74 years,3,24989,12.01,2916,Silent,SUR,Americas,South America,female : 55-74 years
24232,Suriname,2003,female,15-24 years,3,42340,7.09,2916,Millenials,SUR,Americas,South America,female : 15-24 years
24233,Suriname,2003,male,05-14 years,2,51886,3.85,2916,Millenials,SUR,Americas,South America,male : 05-14 years
24236,Suriname,2004,male,55-74 years,10,22321,44.8,3360,Silent,SUR,Americas,South America,male : 55-74 years
24237,Suriname,2004,male,35-54 years,23,58839,39.09,3360,Boomers,SUR,Americas,South America,male : 35-54 years
24238,Suriname,2004,male,75+ years,1,4276,23.39,3360,Silent,SUR,Americas,South America,male : 75+ years
24239,Suriname,2004,male,25-34 years,8,39773,20.11,3360,Generation X,SUR,Americas,South America,male : 25-34 years
24240,Suriname,2004,female,75+ years,1,5466,18.29,3360,Silent,SUR,Americas,South America,female : 75+ years
24241,Suriname,2004,female,15-24 years,6,42934,13.97,3360,Millenials,SUR,Americas,South America,female : 15-24 years
24242,Suriname,2004,male,15-24 years,6,44369,13.52,3360,Millenials,SUR,Americas,South America,male : 15-24 years
24243,Suriname,2004,female,55-74 years,3,25602,11.72,3360,Silent,SUR,Americas,South America,female : 55-74 years
24244,Suriname,2004,female,35-54 years,5,57544,8.69,3360,Boomers,SUR,Americas,South America,female : 35-54 years
24245,Suriname,2004,female,05-14 years,2,49715,4.02,3360,Millenials,SUR,Americas,South America,female : 05-14 years
24246,Suriname,2004,female,25-34 years,1,38640,2.59,3360,Generation X,SUR,Americas,South America,female : 25-34 years
24247,Suriname,2004,male,05-14 years,1,52238,1.91,3360,Millenials,SUR,Americas,South America,male : 05-14 years
24248,Suriname,2005,male,25-34 years,18,39566,45.49,4009,Generation X,SUR,Americas,South America,male : 25-34 years
24249,Suriname,2005,male,55-74 years,8,22765,35.14,4009,Silent,SUR,Americas,South America,male : 55-74 years
24250,Suriname,2005,male,35-54 years,19,60391,31.46,4009,Boomers,SUR,Americas,South America,male : 35-54 years
24251,Suriname,2005,male,15-24 years,12,45060,26.63,4009,Millenials,SUR,Americas,South America,male : 15-24 years
24252,Suriname,2005,male,75+ years,1,4357,22.95,4009,Silent,SUR,Americas,South America,male : 75+ years
24253,Suriname,2005,female,75+ years,1,5644,17.72,4009,Silent,SUR,Americas,South America,female : 75+ years
24254,Suriname,2005,female,25-34 years,4,38594,10.36,4009,Generation X,SUR,Americas,South America,female : 25-34 years
24255,Suriname,2005,female,55-74 years,2,26296,7.61,4009,Silent,SUR,Americas,South America,female : 55-74 years
24256,Suriname,2005,female,15-24 years,2,43456,4.6,4009,Millenials,SUR,Americas,South America,female : 15-24 years
24257,Suriname,2005,male,05-14 years,2,52526,3.81,4009,Millenials,SUR,Americas,South America,male : 05-14 years
24258,Suriname,2005,female,35-54 years,2,58932,3.39,4009,Boomers,SUR,Americas,South America,female : 35-54 years
24259,Suriname,2005,female,05-14 years,1,49858,2.01,4009,Millenials,SUR,Americas,South America,female : 05-14 years
24260,Suriname,2006,male,35-54 years,37,62088,59.59,5794,Boomers,SUR,Americas,South America,male : 35-54 years
24261,Suriname,2006,male,75+ years,2,4557,43.89,5794,Silent,SUR,Americas,South America,male : 75+ years
24262,Suriname,2006,male,55-74 years,10,23150,43.2,5794,Silent,SUR,Americas,South America,male : 55-74 years
24263,Suriname,2006,male,15-24 years,19,45741,41.54,5794,Millenials,SUR,Americas,South America,male : 15-24 years
24264,Suriname,2006,male,25-34 years,16,39396,40.61,5794,Generation X,SUR,Americas,South America,male : 25-34 years
24265,Suriname,2006,female,15-24 years,11,43971,25.02,5794,Millenials,SUR,Americas,South America,female : 15-24 years
24266,Suriname,2006,female,55-74 years,5,26903,18.59,5794,Silent,SUR,Americas,South America,female : 55-74 years
24267,Suriname,2006,female,25-34 years,6,38578,15.55,5794,Generation X,SUR,Americas,South America,female : 25-34 years
24268,Suriname,2006,female,35-54 years,5,60541,8.26,5794,Boomers,SUR,Americas,South America,female : 35-54 years
24269,Suriname,2006,female,05-14 years,1,49822,2.01,5794,Millenials,SUR,Americas,South America,female : 05-14 years
24272,Suriname,2007,male,75+ years,3,4718,63.59,6397,Silent,SUR,Americas,South America,male : 75+ years
24273,Suriname,2007,male,25-34 years,24,39222,61.19,6397,Generation X,SUR,Americas,South America,male : 25-34 years
24274,Suriname,2007,male,35-54 years,35,63837,54.83,6397,Boomers,SUR,Americas,South America,male : 35-54 years
24275,Suriname,2007,male,55-74 years,10,23599,42.37,6397,Silent,SUR,Americas,South America,male : 55-74 years
24276,Suriname,2007,female,75+ years,2,6107,32.75,6397,Silent,SUR,Americas,South America,female : 75+ years
